File name,Score,Prosody,Noise/Disruption,Pre-speech noise,Repetition,Word,Pronunciation,pronScores,Assessor
a06_hylle.wav,1,,1,,,hylle,h Y l @,1 0 1 0,Jeanett
a12_hylle.wav,5,,,,1,hylle,h Y l @,1 1 1 1,Jeanett
a33_hylle.wav,5,,,1,,hylle,h Y l @,1 1 1 1,Jeanett
d18_hylle.wav,5,,,,,hylle,h Y l @,1 1 1 1,Jeanett
a27_hylle.wav,3,1,,1,,hylle,h Y l @,0 1 1 1,Jeanett
d14_hylle.wav,4,1,1,,,hylle,h Y l @,1 1 1 1,Jeanett
a21_hylle.wav,4,1,,1,,hylle,h Y l @,1 1 1 1,Jeanett
a14_hylle.wav,5,,,1,,hylle,h Y l @,1 1 1 1,Jeanett
d12_hylle.wav,5,,,,,hylle,h Y l @,1 1 1 1,Jeanett
d06_hylle.wav,5,,,,,hylle,h Y l @,1 1 1 1,Jeanett
a19_hylle.wav,3,,,1,,hylle,h Y l @,1 1 0 1,Jeanett
a13_hylle.wav,4,1,,,,hylle,h Y l @,1 1 1 1,Jeanett
a07_hylle.wav,3,,1,,,hylle,h Y l @,1 1 0 1,Jeanett
a26_hylle.wav,4,1,,1,,hylle,h Y l @,1 1 1 1,Jeanett
a32_hylle.wav,5,,,1,,hylle,h Y l @,1 1 1 1,Jeanett
d01_hylle.wav,5,,,,,hylle,h Y l @,1 1 1 1,Jeanett
d15_hylle.wav,5,,,,,hylle,h Y l @,1 1 1 1,Jeanett
d19_hylle.wav,2,1,,,,hylle,h Y l @,1 0 1 0,Jeanett
a20_hylle.wav,5,,,1,,hylle,h Y l @,1 1 1 1,Jeanett
a34_hylle.wav,3,1,,1,,hylle,h Y l @,1 1 1 0,Jeanett
a15_hylle.wav,2,,,1,,hylle,h Y l @,0 0 1 1,Jeanett
a01_hylle.wav,3,,,,,hylle,h Y l @,1 1 0 1,Jeanett
d07_hylle.wav,4,,1,,,hylle,h Y l @,1 0 1 1,Jeanett
d13_hylle.wav,4,1,,,,hylle,h Y l @,1 1 1 1,Jeanett
a18_hylle.wav,5,,,1,,hylle,h Y l @,1 1 1 1,Jeanett
a31_hylle.wav,5,,,1,,hylle,h Y l @,1 1 1 1,Jeanett
a25_hylle.wav,3,,,1,,hylle,h Y l @,1 1 0 1,Jeanett
a04_hylle.wav,4,1,1,1,,hylle,h Y l @,1 1 1 1,Jeanett
a10_hylle.wav,3,,,,,hylle,h Y l @,0 0 1 1,Jeanett
d16_hylle.wav,5,,,1,,hylle,h Y l @,1 1 1 1,Jeanett
a28_hylle.wav,4,,,1,,hylle,h Y l @,1 1 0 1,Jeanett
d02_hylle.wav,4,1,1,,,hylle,h Y l @,1 1 1 1,Jeanett
a09_hylle.wav,2,,,,,hylle,h Y l @,1 1 0 0,Jeanett
a02_hylle.wav,3,1,,1,,hylle,h Y l @,1 1 0 1,Jeanett
a16_hylle.wav,5,,,1,,hylle,h Y l @,1 1 1 1,Jeanett
d09_hylle.wav,5,,1,,,hylle,h Y l @,1 1 1 1,Jeanett
a23_hylle.wav,5,,,1,,hylle,h Y l @,1 1 1 1,Jeanett
d10_hylle.wav,5,,,,,hylle,h Y l @,1 1 1 1,Jeanett
d04_hylle.wav,4,1,,,,hylle,h Y l @,1 1 1 1,Jeanett
a30_hylle.wav,3,1,,1,,hylle,h Y l @,0 1 1 1,Jeanett
a11_hylle.wav,3,,,,,hylle,h Y l @,0 0 1 1,Jeanett
a05_hylle.wav,4,1,1,,,hylle,h Y l @,1 1 1 1,Jeanett
a29_hylle.wav,4,1,,1,,hylle,h Y l @,1 1 1 1,Jeanett
d03_hylle.wav,3,,1,,,hylle,h Y l @,1 1 1 0,Jeanett
d17_hylle.wav,5,,1,,,hylle,h Y l @,1 1 1 1,Jeanett
a08_hylle.wav,3,,,,,hylle,h Y l @,0 1 0 1,Jeanett
a17_hylle.wav,4,1,,1,,hylle,h Y l @,1 1 1 1,Jeanett
a03_hylle.wav,3,,,1,,hylle,h Y l @,0 1 1 1,Jeanett
d08_hylle.wav,4,1,1,,,hylle,h Y l @,1 1 1 1,Jeanett
a22_hylle.wav,3,,,1,,hylle,h Y l @,1 1 0 1,Jeanett
d05_hylle.wav,5,,1,,,hylle,h Y l @,1 1 1 1,Jeanett
d11_hylle.wav,5,,1,,,hylle,h Y l @,1 1 1 1,Jeanett
d15_artist.wav,5,,,,,artist,A t` I s t,1 1 1 1 1,Anne Marte
a16_artist.wav,5,,,1,,artist,A t` I s t,1 1 1 1 1,Anne Marte
d09_artist.wav,2,,1,,,artist,A t` I s t,1 0 1 1 0,Anne Marte
a21_artist.wav,3,1,,1,,artist,A t` I s t,1 0 1 1 1,Anne Marte
a30_artist.wav,4,,,1,,artist,A t` I s t,1 0 1 1 1,Anne Marte
d18_artist.wav,5,,,,,artist,A t` I s t,1 1 1 1 1,Anne Marte
a07_artist.wav,2,,,,,artist,A t` I s t,0 0 1 1 1,Anne Marte
d04_artist.wav,5,,,,,artist,A t` I s t,1 1 1 1 1,Anne Marte
a02_artist.wav,2,,,1,,artist,A t` I s t,1 0 1 0 1,Anne Marte
a29_artist.wav,5,,,1,,artist,A t` I s t,1 1 1 1 1,Anne Marte
d01_artist.wav,2,,,,1,artist,A t` I s t,1 0 1 0 0,Anne Marte
d10_artist.wav,3,1,1,,1,artist,A t` I s t,1 1 1 1 0,Anne Marte
a13_artist.wav,2,,,,,artist,A t` I s t,0 0 1 1 1,Anne Marte
a23_artist.wav,3,,,1,,artist,A t` I s t,1 1 1 0 1,Anne Marte
a14_artist.wav,3,1,,1,,artist,A t` I s t,1 0 1 1 1,Anne Marte
