,Submission ID,Time,Agreement,Speaker ID,Age,Current Grade,Gender,Birth Country,Immigration Age,Exposed To Dialect Oslo,Exposed To Dialect Other,Exposed To Dialect Region,First Language,Second Language,Third Language,Fourth Language,First Language Level,Second Language Level,Third Language Level,Fourth Language Level,Used Languages,First Language Use,Second Language Use,Third Language Use,Fourth Language Use,Answer Time ms,Score 0,Score 1,Score 2,Score 3,Score 4,Score 5
0,21533872,2022-06-08 17:27:08,I agree,a01,7,1,F,Finland,-,,Another dialect,Only Finnish,Finnish,-,-,-,Advanced,,,,Finnish,100,,,,2935462,0,11,62,86,41,17
1,21955714,2022-07-09 18:15:40,I agree,a02,6,0,F,Estonia,,,Another dialect,none,Estonian,Swedish,Finnish,,Advanced,Advanced,Advanced,,"Swedish, Estonian",40,40,20,,265365,0,2,27,109,63,16
2,21954193,2022-07-09 12:14:51,I agree,a03,8,1,F,Finland,,,Another dialect,none,Finnish,Estonian,German,English,Advanced,Advanced,Basic,Basic,Finnish,95,3,1,1,160846,4,9,46,91,59,8
3,21955715,2022-07-09 18:17:02,I agree,a04,8,2,M,Estonia,,,Another dialect,none,Estonian,Swedish,Finnish,,Advanced,Advanced,Advanced,,"Estonian, Swedish",40,40,20,,18641712,0,0,18,95,83,21
4,21955650,2022-07-09 18:09:16,I agree,a05,10,5,M,Ukraine,,,Another dialect,none,Ukrainian,Russian,,,Advanced,Advanced,,,Ukraine,90,10,,,168337,3,2,12,100,68,32
5,21955654,2022-07-09 18:10:54,I agree,a06,9,4,M,Ukraine,,,Another dialect,none,Russian,ukraine,,,Advanced,Advanced,,,Russian,90,10,,,91900,0,16,38,86,51,26
6,21956020,2022-07-09 20:02:03,I agree,a07,5,0,F,Ukraine,-,,Another dialect,none,Russian,Ukraine,,,Advanced,Advanced,,,95,5,,,,135722,4,37,90,59,21,6
7,21961353,2022-07-10 12:51:51,I agree,a08,9,2,F,Ukraine,,,Another dialect,none,Ukrainian,Russian,,,Advanced,Advanced,,,"Russian, ukraine",50,50,,,108065,0,3,33,92,56,33
8,21962064,2022-07-10 13:34:43,I agree,a09,9,3,M,Estonia,,,Another dialect,none,Estonian,,,,Advanced,,,,Estonian,100,,,,122916,0,3,39,92,67,16
9,21980660,2022-07-11 15:55:40,I agree,a10,10,4,M,Finland,-,,Another dialect,-,Finnish,Estonian,German,English,Advanced,Advanced,Intermediate,Intermediate,Finnishn Estonian,90,5,3,2,107065,0,1,34,106,52,24
10,22095226,2022-07-24 14:53:20,I agree,a11,6,0,F,Ukraine,-,,Another dialect,none,Ukrainian,Russian,,,Advanced,Intermediate,,,Ukrainian,90,10,,,89090,1,27,70,79,29,11
11,22272613,2022-08-10 14:01:07,I agree,a12,8,2,M,Ukraine,,,Another dialect,none,Ukrainian,Russian,,,Advanced,Advanced,,,"Ukraine, russian",90,10,,,90529,29,17,70,74,23,4
12,21989860,2022-07-12 13:14:07,I agree,a13,5,0,M,Estonia,,Oslo dialect,,,Russian,Chinese,English,Estonian,Advanced,Intermediate,Advanced,Intermediate,"Russian, Chinese",60%,30%,10%,0%,432456,11,18,60,84,34,10
13,24247798,2022-11-17 15:51:46,I agree,a14,10,5,M,Belgium,10,Oslo dialect,,,Dutch,English,Korean,,Advanced,Advanced,Basic,,"Dutch, English",75,20,5,,441788,0,0,16,92,94,64
14,24247828,2022-11-17 15:53:38,I agree,a15,12,7,M,"China, Hong Kong",12,Oslo dialect,,,Mandarin,English,Norsk,,Advanced,Intermediate,Basic,,Mandarin,98,1,1,,260050,0,5,35,132,65,29
15,24247915,2022-11-17 15:58:51,I agree,a16,12,7,M,Irak,12,Oslo dialect,,,English,Kurdish (Sorani),Norwegian,,Advanced,Advanced,Intermediate,,"Kurdish (Sorani), English",60,35,5,,306458,1,1,7,68,74,115
16,24247962,2022-11-17 16:01:55,I agree,a17,12,7,F,United Arab Emirates,11,Oslo dialect,,,Urdu,English,,,Advanced,Advanced,,,"Urdu, English",80,20,,,176501,0,0,15,94,97,60
17,24247984,2022-11-17 16:03:50,I agree,a18,12,7,F,Switzerland,12,Oslo dialect,,,French,English,Norwegian,Dutch,Advanced,Advanced,Basic,Basic,French,100,,,,105780,1,0,2,66,109,88
18,24248066,2022-11-17 16:09:09,I agree,a19,12,7,F,Norway,"Has lived in Canada the last 6 years, came back to Norway 6months ago",Oslo dialect,,,English,Somalisk,,,Advanced,Intermediate,,,Engelsk og Somalisk,80,20,,,309819,0,0,16,72,87,91
19,24248092,2022-11-17 16:10:46,I agree,a20,10,5,F,Norway,"Has lived in Canada the last 6 years, came back to Norway 6months ago",Oslo dialect,,,English,Somalisk,,,Advanced,Intermediate,,,Engelsk og Somalisk,80,20,,,88429,0,0,20,81,88,77
20,24248137,2022-11-17 16:14:32,I agree,a21,11,57a,M,Vietnam,11,Oslo dialect,,,Vietnamese,English,Norwegian,,Advanced,Basic,Basic,,Vietnamese,90,0,10,,220450,3,0,36,116,91,20
21,24248166,2022-11-17 16:17:44,I agree,a22,11,6,M,Lesotho,11,Oslo dialect,,,English,Somali,,,Advanced,Basic,,,Engelsk,70,30,,,184413,2,0,11,110,88,55
22,24248197,2022-11-17 16:20:39,I agree,a23,12,7,M,Iran,12,Oslo dialect,,,Persian,English,Greek,Norwegian,Intermediate,Advanced,Basic,Basic,"English, Persian",40,50,0,10,1723966,0,0,22,95,88,61
23,24745557,2022-12-15 13:38:43,I agree,a25,11,6,M,USA,11,Oslo dialect,,,English,,,,Advanced,,,,"English, Norwegian",95,5,,,104266,1,7,47,122,72,17
